Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,,,
S2,1,20,0,0.75,0,1,,,
S2,1,20,0.2,0.8,0.023487899,0.976512101,,,
S2,1,20,0.4,0.6,0.023487899,0.976512101,,,
S2,1,20,0.6,0.4,0.023487899,0.976512101,,,
S2,1,20,0.8,0.2,0.023487899,0.976512101,,,
S2,2,20,0,0.7,0,1,,,
S2,2,20,0.2,1,0,1,,,
S2,2,20,0.4,0.75,0,1,,,
S2,2,20,0.6,0.615384615,0.023388195,0.976611805,,,
S2,2,20,0.8,0.25,0.023388195,0.976611805,,,
S2,3,20,0,1,0,1,,,
S2,3,20,0.2,1,0.30321306,0.69678694,,,
S2,3,20,0.4,1,0.730408766,0.269591234,,,
S2,3,20,0.6,0.727272727,0.730408766,0.269591234,,,
S2,3,20,0.8,0.266666667,0.785273215,0.214726785,,,
S2,4,20,0,1,0,1,,,
S2,4,20,0.2,1,0,1,,,
S2,4,20,0.4,1,0,1,,,
S2,4,20,0.6,0.533333333,0.035298822,0.964701178,,,
S2,4,20,0.8,0.2,0.133893625,0.866106375,,,
S2,5,20,0,1,0.238923849,0.761076151,,,
S2,5,20,0.2,0.8,0.238923849,0.761076151,,,
S2,5,20,0.4,0.625,0.152745255,0.847254745,,,
S2,5,20,0.6,0.4,0.238923849,0.761076151,,,
S2,5,20,0.8,0.2,0.238923849,0.761076151,0.672706294,0.158706596,0.841293404
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,0.70635806,0.391698056,0.914583187
S3,1,20,0,0.75,0.035251201,0.964748799,,,
S3,1,20,0.2,1,0.008805442,0.991194558,,,
S3,1,20,0.4,0.916666667,0.251378994,0.748621006,,,
S3,1,20,0.6,0.636363636,0.54022061,0.45977939,,,
S3,1,20,0.8,0.2,0.543900678,0.456099322,,,
S3,2,20,0,0.95,0,1,,,
S3,2,20,0.2,1,0.448866346,0.551133654,,,
S3,2,20,0.4,0.846153846,0.782962821,0.217037179,,,
S3,2,20,0.6,0.4,0.938064815,0.061935185,,,
S3,2,20,0.8,0.2,0.938064815,0.061935185,,,
S3,3,20,0,1,0,1,,,
S3,3,20,0.2,0.6875,0,1,,,
S3,3,20,0.4,1,0,1,,,
S3,3,20,0.6,0.5,0.09395706,0.90604294,,,
S3,3,20,0.8,0.1875,0.275667515,0.724332485,,,
S3,4,20,0,1,0,1,,,
S3,4,20,0.2,1,0.30321306,0.69678694,,,
S3,4,20,0.4,1,0.814885194,0.185114806,,,
S3,4,20,0.6,0.666666667,0.814287637,0.185712363,,,
S3,4,20,0.8,0.25,0.856326305,0.143673695,,,
S3,5,20,0,0.8,0.01322572,0.98677428,,,
S3,5,20,0.2,1,0.070083111,0.929916889,,,
S3,5,20,0.4,0.857142857,0.247348537,0.752651463,,,
S3,5,20,0.6,0.4,0.376139524,0.623860476,,,
S3,5,20,0.8,0.2,0.376139524,0.623860476,0.697919747,0.349151556,0.650848444
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,0.714623932,0.384308844,0.782103455
S4,1_2,20,0,0.8,0.056904754,0.943095246,,,
S4,1_2,20,0.2,0.789473684,0.023438047,0.976561953,,,
S4,1_2,20,0.4,0.529411765,0.041885325,0.958114675,,,
S4,1_2,20,0.6,0.333333333,0.041885325,0.958114675,,,
S4,1_2,20,0.8,0.266666667,0.023438047,0.976561953,,,
S4,1_3,20,0,0.85,0.115721242,0.884278758,,,
S4,1_3,20,0.2,0.5,0.614764112,0.385235888,,,
S4,1_3,20,0.4,0.5,0.591291305,0.408708695,,,
S4,1_3,20,0.6,0.411764706,0.407143819,0.592856181,,,
S4,1_3,20,0.8,0.176470588,0.51601547,0.48398453,,,
S4,1_4,20,0,0.9,0.08004121,0.91995879,,,
S4,1_4,20,0.2,0.8,0.068195516,0.931804484,,,
S4,1_4,20,0.4,0.6,0.08004121,0.91995879,,,
S4,1_4,20,0.6,0.214285714,0.017649411,0.982350589,,,
S4,1_4,20,0.8,0.111111111,0.149913357,0.850086643,,,
S4,1_5,20,0,1,0.156850252,0.843149748,,,
S4,1_5,20,0.2,0.8,0.199503134,0.800496866,,,
S4,1_5,20,0.4,0.588235294,0.115721242,0.884278758,,,
S4,1_5,20,0.6,0.4,0.119461924,0.880538076,,,
S4,1_5,20,0.8,0.266666667,0.131205874,0.868794126,,,
S4,2_3,20,0,0.75,0.304479229,0.695520771,,,
S4,2_3,20,0.2,0.777777778,0.407143819,0.592856181,,,
S4,2_3,20,0.4,0.647058824,0.407143819,0.592856181,,,
S4,2_3,20,0.6,0.4,0.428163153,0.571836847,,,
S4,2_3,20,0.8,0.2,0.473323957,0.526676043,,,
S4,2_4,20,0,0.85,0.045160804,0.954839196,,,
S4,2_4,20,0.2,0.722222222,0.017649411,0.982350589,,,
S4,2_4,20,0.4,0.733333333,0.017649411,0.982350589,,,
S4,2_4,20,0.6,0.4,0.112107617,0.887892383,,,
S4,2_4,20,0.8,0.2,0.045160804,0.954839196,,,
S4,2_5,20,0,0.8,0.119461924,0.880538076,,,
S4,2_5,20,0.2,0.8,0.131156022,0.868843978,,,
S4,2_5,20,0.4,0.6,0.131156022,0.868843978,,,
S4,2_5,20,0.6,0.4,0.090321608,0.454839196,,,
S4,2_5,20,0.8,0.2,0.121533432,0.878466568,,,
S4,3_4,20,0,0.65,0.365204383,0.634795617,,,
S4,3_4,20,0.2,0.666666667,0.407143819,0.592856181,,,
S4,3_4,20,0.4,0.526315789,0.392636608,0.607363392,,,
S4,3_4,20,0.6,0.4,0.445812564,0.554187436,,,
S4,3_4,20,0.8,0.2,0.495109965,0.504890035,,,
S4,3_5,20,0,0.75,0.365204383,0.634795617,,,
S4,3_5,20,0.2,0.705882353,0.365204383,0.634795617,,,
S4,3_5,20,0.4,0.6,0.238923849,0.380538076,,,
S4,3_5,20,0.6,0.4375,0.512098532,0.487901468,,,
S4,3_5,20,0.8,0.2,0.611496433,0.388503567,,,
S4,4_5,20,0,1,0.119461924,0.880538076,,,
S4,4_5,20,0.2,0.8,0.137111335,0.862888665,,,
S4,4_5,20,0.4,0.6,0.066946813,0.933053187,,,
S4,4_5,20,0.6,0.4,0.137111335,0.862888665,,,
S4,4_5,20,0.8,0.2,0.14331944,0.85668056,0.54908353,0.224109347,0.759183107
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,0.610748788,0.241814838,0.814336663
S5,1_2,20,0,0.8,0,1,,,
S5,1_2,20,0.2,0.888888889,0.238217285,0.761782715,,,
S5,1_2,20,0.4,0.733333333,0.42613158,0.57386842,,,
S5,1_2,20,0.6,0.4,0.53597922,0.46402078,,,
S5,1_2,20,0.8,0.2,0.469032407,0.530967593,,,
S5,1_3,20,0,0.75,0.004402721,0.995597279,,,
S5,1_3,20,0.2,0.8,0.271950339,0.728049661,,,
S5,1_3,20,0.4,0.444444444,0.270110305,0.729889695,,,
S5,1_3,20,0.6,0.4,0.098331208,0.901668792,,,
S5,1_3,20,0.8,0.333333333,0.58255062,0.41744938,,,
S5,1_4,20,0,1,0,1,,,
S5,1_4,20,0.2,0.722222222,0.407442597,0.592557403,,,
S5,1_4,20,0.4,0.714285714,0.407442597,0.592557403,,,
S5,1_4,20,0.6,0.5,0.439164649,0.560835351,,,
S5,1_4,20,0.8,0.2,0.769637141,0.230362859,,,
S5,1_5,20,0,0.75,0.065046917,0.934953083,,,
S5,1_5,20,0.2,0.941176471,0.214100698,0.785899302,,,
S5,1_5,20,0.4,0.647058824,0.237083489,0.762916511,,,
S5,1_5,20,0.6,0.4,0.188069762,0.811930238,,,
S5,1_5,20,0.8,0.1875,0.577360854,0.422639146,,,
S5,2_3,20,0,0.75,0.408312739,0.591687261,,,
S5,2_3,20,0.2,1,0.450534084,0.549465916,,,
S5,2_3,20,0.4,0.733333333,0.436081665,0.563918335,,,
S5,2_3,20,0.6,0.4,0.098331208,0.901668792,,,
S5,2_3,20,0.8,0.2,0.598322894,0.401677106,,,
S5,2_4,20,0,1,0.15160653,0.84839347,,,
S5,2_4,20,0.2,0.875,0.407442597,0.592557403,,,
S5,2_4,20,0.4,0.75,0.457815731,0.542184269,,,
S5,2_4,20,0.6,0.533333333,0.457815731,0.542184269,,,
S5,2_4,20,0.8,0.2,0.469032407,0.530967593,,,
S5,2_5,20,0,0.9,0.377410008,0.622589992,,,
S5,2_5,20,0.2,0.888888889,0.082056417,0.917943583,,,
S5,2_5,20,0.4,0.6,0.65710217,0.34289783,,,
S5,2_5,20,0.6,0.4,0.688060602,0.311939398,,,
S5,2_5,20,0.8,0.2,0.680391994,0.319608006,,,
S5,3_4,20,0,0.8,0.407143819,0.592856181,,,
S5,3_4,20,0.2,0.473684211,0.392636608,0.607363392,,,
S5,3_4,20,0.4,0.8,0.428163153,0.571836847,,,
S5,3_4,20,0.6,0.4,0.098331208,0.901668792,,,
S5,3_4,20,0.8,0.125,0.576462854,0.423537146,,,
S5,3_5,20,0,0.75,0.082056417,0.917943583,,,
S5,3_5,20,0.2,0.941176471,0.082056417,0.917943583,,,
S5,3_5,20,0.4,0.6,0.188069762,0.811930238,,,
S5,3_5,20,0.6,0.4,0.188069762,0.811930238,,,
S5,3_5,20,0.8,0.1875,0.32590352,0.67409648,,,
S5,4_5,20,0,0.9,0.414055457,0.585944543,,,
S5,4_5,20,0.2,0.684210526,0.563363169,0.436636831,,,
S5,4_5,20,0.4,0.6,0.677336242,0.322663758,,,
S5,4_5,20,0.6,0.4,0.681715446,0.318284554,,,
S5,4_5,20,0.8,0.1875,0.230790025,0.769209975,0.5898374,0.3591705,0.6408295
,,,,,,,0.668992424,0.308709954,0.732215841
